stride,rate,msecs
1.000000,63.042426,12.102000
2.000000,41.392112,18.432001
3.000000,32.125121,23.748999
4.000000,25.481429,29.941000
5.000000,19.869248,38.398003
6.000000,17.118164,44.569000
7.000000,15.374714,49.623001
8.000000,13.923523,54.795002
9.000000,12.536387,60.858002
10.000000,11.570207,65.940002
11.000000,10.768073,70.851997
12.000000,10.012460,76.199005
13.000000,8.996821,84.801003
14.000000,8.237396,92.619003
15.000000,7.809801,97.690002

